Variety;Treatment;Id;Plant;volume;M;shape;m;starch_content;amylose_content;density;apparent_density;porosity
V3;C;11;C_V3_11;12.257809115934;6.70971764705882;2.85473407859391;2.35258823529412;73.5773885778095;22.814127625022;1.61860035567886;1.44698209876543;10.6028802175473
V3;C;12;C_V3_12;13.0412068601933;6.92537451897056;2.98418914349044;2.42109316516015;77.0810737481814;24.154127625022;1.61848128871564;1.45;10.4098385251857
V3;C;13;C_V3_13;11.4744113716747;6.49406077514709;2.72527901369738;2.28408330542809;81.9862329867021;;1.60737182465107;;9.79062978693378
V3;S-AF;11;D_V3_11;11.1741642686512;6.67998148148148;2.97014108018253;2.25101851851852;76.2730986763341;23.6636596469878;1.5904519627526;1.43917225609756;9.5117432150052
V3;S-AF;12;D_V3_12;11.939076783189;6.92066027711886;3.11049756963935;2.31678783829742;79.7718646706614;23.6424441895964;1.59880719723707;1.44;9.93285478771344
V3;S-AF;13;D_V3_13;10.4092517541133;6.43930268584409;2.82978459072571;2.18524919873962;79.0721114717959;;1.59825493859183;;9.90173311970283
V3;S;11;L_V3_11;11.1751868443417;6.67255555555556;2.96898601365064;2.25211111111111;81.9030002098601;24.3692761909197;1.59979577727156;1.444764894985;9.6906670519513
V3;S;12;L_V3_12;12.1710812278472;6.96419793549677;3.17774319632942;2.34915548813065;78.2106518397435;25.7092761909197;1.58984116574893;1.44;9.42491419753541
V3;S;13;L_V3_13;10.1792924608362;6.38091317561434;2.76022883097185;2.15506673409157;71.4972911668041;;1.59440358400022;;9.68409664589676
V5;C;11;C_V5_11;13.6160107864526;6.2214;2.5408;2.43593434610928;86.8154041411655;14.0063593852617;1.57773205848612;1.45240484084881;7.94350453635111
V5;C;12;C_V5_12;14.0043370924874;6.29468233074896;2.58557945957691;2.50501618675087;82.1324155360404;14.3382841077731;1.58317307417663;1.45;8.41178241020091
V5;C;13;C_V5_13;13.2276844804178;6.14811766925104;2.49602054042309;2.36685250546768;;;1.59340764404016;;9.00006000200593
V5;S-AF;11;D_V5_11;14.6555156873986;6.3272027027027;2.58374324324324;2.44454176694753;80.8887554831893;14.7224233220435;1.58249141939893;1.45059355509355;8.3348233480766
V5;S-AF;12;D_V5_12;15.4362021808876;6.48661961795735;2.73173352993031;2.57317177051211;77.0032694119444;14.9206417127312;1.58458772450342;1.45;8.49354834839455
V5;S-AF;13;D_V5_13;13.8748291939096;6.16778578744805;2.43575295655617;2.31591176338295;79.8290774637589;;1.58169612363135;;8.3262594921833
V5;S;11;L_V5_11;15.0848095555649;6.55179775280899;2.57831460674157;2.54582486464974;71.9682628980884;14.3083252862199;1.62433133144817;1.443170998886;11.1529174531565
V5;S;12;L_V5_12;15.8231435090309;6.75920568308251;2.70165602088666;2.67136083391463;75.2695593613034;14.6452044520997;1.60976327055689;1.44;10.5458531488399
V5;S;13;L_V5_13;14.3464756020989;6.34438982253546;2.45497319259649;2.42028889538485;68.6669664348733;;1.60686009639603;;10.3842330001392
V7;C;11;C_V7_11;12.0786092007728;4.73437359098229;1.762421620788;2.69769887278583;88.336955550407;21.4239943925379;1.59416543571548;1.4014;12.0919342118946
V7;C;12;C_V7_12;12.8165820364398;4.92718539680011;1.89419951661647;2.88055816422728;81.806207863801;20.6562760243366;1.58252278176825;1.4;11.5336590329719
V7;C;13;C_V7_13;11.3406363651058;4.54156178516446;1.63064372495953;2.51483958134438;83.5248256760657;;1.58090247049089;;11.442987399135
V7;S-AF;11;D_V7_11;11.8358664609566;4.67062857142857;1.74209333009963;2.68926428571429;78.8136988091066;23.0972687395565;1.59082985505911;1.42768934911243;10.2550568451975
V7;S-AF;12;D_V7_12;12.5341926041286;4.82784961495779;1.84964491536128;2.84828934452338;71.9331378019624;20.1605902152866;1.59346525885387;1.43;10.2584764836008
V7;S-AF;13;D_V7_13;11.1375403177845;4.51340752789935;1.63454174483798;2.53023922690519;;;1.59832113762769;;10.5311212912767
V7;S;11;L_V7_11;12.6592583639557;4.99055223880597;1.87750557915348;2.66915351812367;73.5835162873961;22.5292892593982;1.56765341187614;1.42356943875461;9.19106047484657
V7;S;12;L_V7_12;13.4330464174852;5.1744677246116;2.01408047409749;2.8482017434154;81.5291541963638;20.8235205483243;1.57364516896847;1.42;9.76364761245282
V7;S;13;L_V7_13;11.8854703104262;4.80663675300034;1.74093068420948;2.49010529283194;;;1.5721099295207;;9.67552756104473
V8;C;11;C_V8_11;16.2554470537164;6.79020454545455;2.62468181818182;2.59497792885893;78.8576613280933;13.5639885029347;1.58247443822723;1.44717484662577;8.54987533024756
V8;C;12;C_V8_12;16.9950418170166;6.93034194971152;2.76014618279605;2.72637389820682;73.1742262774199;12.0537644056042;1.58649859478713;1.45;8.603763989179
V8;C;13;C_V8_13;15.5158522904162;6.65006714119758;2.48921745356758;2.46358195951105;;;1.59012852741203;;8.81240258233029
V8;S-AF;11;D_V8_11;16.2567302192995;6.65215441176471;2.62352205882353;2.5519566880359;76.3526791428752;10.9370343798489;1.57946787539011;1.44911766644693;8.25279266354046
V8;S-AF;12;D_V8_12;17.3566178393128;6.86251850103487;2.82680780797014;2.75371931371431;77.7100601054152;10.3588703014931;1.57951096158413;1.45;8.19943417513457
V8;S-AF;13;D_V8_13;15.1568425992861;6.44179032249454;2.42023630967691;2.3501940623575;79.4067863085902;;1.58322217582129;;8.41462290358477
V8;S;11;L_V8_11;16.4269769821707;6.565;2.5723;2.54337144804426;70.7550599004767;12.0961608817429;1.56444378110692;1.43058837209302;8.5561022153949
V8;S;12;L_V8_12;16.9850052291575;6.67308741318437;2.75843558379728;2.71354464390778;73.2439313542623;13.1616293025081;1.57045378450466;1.43;8.94351593727172
V8;S;13;L_V8_13;15.8689487351839;6.45691258681563;2.38616441620272;2.37319825218073;61.8662332798138;;1.57087565765392;;8.96796999606705
