Variety;Treatment;Id;Plant;Leaf;Date;Time;Fm.;PAR;Temp;Y..II.;ETR;SPAD;alpha;ETRm;Ik
V3;C;9;C_V3_9;9;08/10/2020;08:31:26;1337;284;29.3;0.234;27.9;34;0.204;29.386;144.305
V3;C;9;C_V3_9;9;08/10/2020;08:30:46;1454;124;28.8;0.4;20.8;34;0.204;29.386;144.305
V3;C;9;C_V3_9;9;08/10/2020;08:33:06;1160;1502;30.9;0.046;29;34;0.204;29.386;144.305
V3;S-AF;2;D_V3_2;9;06/10/2020;10:11:16;1347;846;30.4;0.099;35.2;35.3;0.189;36.132;191.29
V3;S-AF;2;D_V3_2;9;06/10/2020;10:10:16;1306;294;29.5;0.252;31.1;35.3;0.189;36.132;191.29
V3;S-AF;2;D_V3_2;9;06/10/2020;10:11:36;1314;1184;30.9;0.078;38.8;35.3;0.189;36.132;191.29
V3;S-AF;2;D_V3_2;9;06/10/2020;10:10:56;1346;648;30.1;0.126;34.3;35.3;0.189;36.132;191.29
V3;S-AF;2;D_V3_2;9;06/10/2020;10:10:36;1327;433;29.6;0.188;34.2;35.3;0.189;36.132;191.29
V3;S-AF;2;D_V3_2;9;06/10/2020;10:09:56;1326;196;29.4;0.334;27.5;35.3;0.189;36.132;191.29
V3;S-AF;2;D_V3_2;9;06/10/2020;10:09:16;1586;0;30.1;0.735;0;35.3;0.189;36.132;191.29
V3;S-AF;2;D_V3_2;9;06/10/2020;10:09:36;1406;129;29.5;0.424;23;35.3;0.189;36.132;191.29
V3;S-AF;2;D_V3_2;9;06/10/2020;10:11:56;1267;1543;31.4;0.059;38.2;35.3;0.189;36.132;191.29
V3;S-AF;3;D_V3_3;9;07/10/2020;09:55:37;1347;434;29.1;0.242;44.1;41.6;0.202;49.894;247.221
V3;S-AF;3;D_V3_3;9;07/10/2020;09:54:37;1525;129;29.1;0.492;26.7;41.6;0.202;49.894;247.221
V3;S-AF;3;D_V3_3;9;07/10/2020;09:56:56;1268;1546;30.9;0.084;54.5;41.6;0.202;49.894;247.221
V3;S-AF;3;D_V3_3;9;07/10/2020;09:54:57;1413;196;28.9;0.403;33.2;41.6;0.202;49.894;247.221
V3;S-AF;3;D_V3_3;9;07/10/2020;09:54:17;1650;0;29.5;0.718;0;41.6;0.202;49.894;247.221
V3;S-AF;3;D_V3_3;9;07/10/2020;09:56:36;1310;1186;30.4;0.099;49.3;41.6;0.202;49.894;247.221
V3;S-AF;3;D_V3_3;9;07/10/2020;09:55:17;1363;294;28.9;0.322;39.8;41.6;0.202;49.894;247.221
V3;S-AF;3;D_V3_3;9;07/10/2020;09:55:57;1335;649;29.6;0.177;48.2;41.6;0.202;49.894;247.221
V3;S-AF;3;D_V3_3;9;07/10/2020;09:56:17;1341;848;29.9;0.139;49.5;41.6;0.202;49.894;247.221
V3;S-AF;4;D_V3_4;9;08/10/2020;09:36:52;1477;0;30.9;0.72;0;39.1;0.248;46.922;189.511
V3;S-AF;4;D_V3_4;9;08/10/2020;09:39:31;1298;1548;31.6;0.077;50.1;39.1;0.248;46.922;189.511
V3;S-AF;4;D_V3_4;9;08/10/2020;09:37:32;1435;196;30.4;0.44;36.2;39.1;0.248;46.922;189.511
V3;S-AF;4;D_V3_4;9;08/10/2020;09:38:52;1352;849;31;0.132;47.1;39.1;0.248;46.922;189.511
V3;S-AF;4;D_V3_4;9;08/10/2020;09:39:12;1321;1188;31.4;0.097;48.4;39.1;0.248;46.922;189.511
V3;S-AF;4;D_V3_4;9;08/10/2020;09:37:12;1470;129;30.6;0.544;29.5;39.1;0.248;46.922;189.511
V3;S-AF;4;D_V3_4;9;08/10/2020;09:38:12;1387;434;30.6;0.241;43.9;39.1;0.248;46.922;189.511
V3;S-AF;4;D_V3_4;9;08/10/2020;09:38:32;1369;650;30.9;0.164;44.8;39.1;0.248;46.922;189.511
V3;S-AF;4;D_V3_4;9;08/10/2020;09:37:52;1405;295;30.5;0.332;41.1;39.1;0.248;46.922;189.511
V3;S-AF;7;D_V3_7;9;06/10/2020;10:15:54;1060;1184;30.9;0.128;63.7;39.7;0.249;65.074;260.921
V3;S-AF;7;D_V3_7;9;06/10/2020;10:16:14;1018;1544;31.5;0.106;68.7;39.7;0.249;65.074;260.921
V3;S-AF;7;D_V3_7;9;06/10/2020;10:15:14;1163;648;30.1;0.24;65.3;39.7;0.249;65.074;260.921
V3;S-AF;7;D_V3_7;9;06/10/2020;10:14:54;1230;433;29.9;0.314;57.1;39.7;0.249;65.074;260.921
V3;S-AF;7;D_V3_7;9;06/10/2020;10:14:14;1353;196;29.5;0.517;42.6;39.7;0.249;65.074;260.921
V3;S-AF;7;D_V3_7;9;06/10/2020;10:14:34;1287;294;29.6;0.42;51.9;39.7;0.249;65.074;260.921
V3;S-AF;7;D_V3_7;9;06/10/2020;10:13:34;1496;0;29.6;0.695;0;39.7;0.249;65.074;260.921
V3;S-AF;7;D_V3_7;9;06/10/2020;10:13:54;1447;129;29.5;0.572;31;39.7;0.249;65.074;260.921
V3;S-AF;7;D_V3_7;9;06/10/2020;10:15:34;1114;846;30.4;0.18;64;39.7;0.249;65.074;260.921
V3;S-AF;8;D_V3_8;9;07/10/2020;09:58:22;1497;0;29.7;0.703;0;42.1;0.263;68.87;261.458
