"x";"y";"xmin";"xmax";"ymin";"ymax";"z";"scale";"inclinationAzimut";"inclinationAngle";"stemTwist"
7;1.75;0;28;0;7;0;1;0;0;0
21;5.25;0;28;0;7;0;1;0;0;0
