"x";"y";"xmin";"xmax";"ymin";"ymax";"z";"scale";"inclinationAzimut";"inclinationAngle";"stemTwist"
6;1.75;0;24;0;7;0;1;0;0;0
18;5.25;0;24;0;7;0;1;0;0;0
