"x";"y";"xmin";"xmax";"ymin";"ymax";"z";"scale";"inclinationAzimut";"inclinationAngle";"stemTwist"
5;2;0;20;0;8;0;1;0;0;0
15;6;0;20;0;8;0;1;0;0;0
