"x";"y";"xmin";"xmax";"ymin";"ymax";"z";"scale";"inclinationAzimut";"inclinationAngle";"stemTwist"
7;2;0;28;0;8;0;1;0;0;0
21;6;0;28;0;8;0;1;0;0;0
