"x";"y";"xmin";"xmax";"ymin";"ymax";"z";"scale";"inclinationAzimut";"inclinationAngle";"stemTwist"
5;1.75;0;20;0;7;0;1;0;0;0
15;5.25;0;20;0;7;0;1;0;0;0
