"x";"y";"xmin";"xmax";"ymin";"ymax";"z";"scale";"inclinationAzimut";"inclinationAngle";"stemTwist"
4.5;2;0;18;0;8;0;1;0;0;0
13.5;6;0;18;0;8;0;1;0;0;0
