"x";"y";"xmin";"xmax";"ymin";"ymax";"z";"scale";"inclinationAzimut";"inclinationAngle";"stemTwist"
6;2;0;24;0;8;0;1;0;0;0
18;6;0;24;0;8;0;1;0;0;0
